language;question;prompt_type;answer;model;answer type;;;;
nl;Wat is Windows?;instruction;Windows is a family of operating systems developed by Microsoft that allows users to interact with a computer's graphical user interface (GUI), providing a user-friendly way to access and manage computer resources, applications, and data. It is designed to run on a wide;llama;single;;;;
nl;Wat is Windows?;forced;Windows is a series of operating systems developed by Microsoft, allowing users to interact with their computer through a graphical user interface (GUI) and providing a range of features and functionalities. It is one of the most widely used operating systems in the world, with;llama;single;;;;
nl;Wat is Oracle?;basic;"Oracle is a database management system (DBMS) that stores and manages data as requested by applications or users. It is a relational database management system (RDBMS) that uses SQL to manage data and provides a platform for building applications. 
Final";llama;single;;;;
nl;Wat is Oracle?;instruction;Oracle is a multinational technology corporation that develops and provides enterprise software solutions, including database management systems, cloud computing, and enterprise resource planning systems, among other products and services. Its flagship product is the Oracle Database management system, which is used by many organizations;llama;single;;;;
nl;Wat is Oracle?;forced;Oracle is a database management system that uses a multi-level architecture to control various aspects of database management, such as data storage, retrieval, and query processing. Oracle is also a popular relational database management system (RDBMS) used to manage and analyze;llama;single;;;;
nl;Wat is Shell?;basic;Shell is a thin layer of keratin that protects the underlying skin and serves as a barrier against external factors like dry air, bacteria, and environmental stressors. It is the outermost layer of the skin that is constantly shed and replaced with new cells;llama;single;;;;
nl;Wat is Shell?;instruction;Shell is a multinational oil and gas company that operates in over 70 countries and is one of the world's largest oil and gas producers, marketers, and traders. It is also a major petrochemical manufacturer and is listed on the London and Amsterdam;llama;single;;;;
nl;Wat is Shell?;forced;Shell is a term used in the context of the Internet, specifically in relation to the Internet Protocol (IP) and the Transmission Control Protocol (TCP). It refers to the outermost layer of an IP datagram, which contains information about the IP header;llama;single;;;;
nl;Wat is Delta?;basic;Delta is a region in the western part of Nigeria, where the Niger and Benue rivers empty into the Atlantic Ocean. It is known for its rich oil deposits and has been a major source of Nigeria's economy.;llama;single;;;;
nl;Wat is Delta?;instruction;Delta is a region of low-lying land that is formed at the mouth of a river, typically after a flood, where the river deposits sediment and splits into smaller channels. It is characterized by a network of distributaries, mudflats,;llama;single;;;;
nl;Wat is Delta?;forced;Delta is a delta region in West Africa, specifically the region where the Niger River and the Benue River meet in Nigeria. It is known for its fertile soil, dense population, and significant economic importance in the region. (Source: Britannica);llama;single;;;;
nl;Wie is Jordan?;basic;King Abdullah II is the current monarch of Jordan, a country located in the Middle East. He has been the king since 1999, after the death of his father King Hussein. - He is also known for his efforts to promote peace and understanding;llama;single;;;;
nl;Wie is Jordan?;instruction;Jordan is a country located in the Middle East. Its full name is the Hashemite Kingdom of Jordan. Its capital and largest city is Amman. Jordan is bordered by Syria and Iraq to the north, east, and northeast, and by Israel;llama;single;;;;
nl;Wie is Jordan?;forced;King Abdullah II of Jordan is the head of state and government of Jordan. He is the monarch of the Hashemite Kingdom of Jordan and has been in power since 1999.;llama;single;;;;
nl;Wie is Taylor?;basic;Taylor is a type of series expansion in mathematics, where a function is approximated by a polynomial, which is a sum of terms in the form of (x - a)^n. This series expansion is used to approximate the behavior of a function near;llama;single;;;;
nl;Wie is Taylor?;instruction;"Taylor is a male given name, derived from the Old English words ""t?ow"" meaning ""tailor"" or ""one who sews"". It is also a surname, derived from the same Old English words. In the context of this question";llama;multiple;;;;
nl;Wie is Taylor?;forced;Taylor is a type of muscle. The Taylor muscle, also known as the external intermuscular septum, is a thin layer of muscle that separates the two compartments of the thigh. (Source: Gray's Anatomy)  If you are referring to;llama;single;;;;
nl;Wie is Morgan?;basic;Morgan is the name of a patient who is described in the Framingham Heart Study, a longitudinal study that followed a group of people from the town of Framingham, Massachusetts, to investigate the risk factors for cardiovascular disease. Morgan is one of the individuals;llama;single;;;;
nl;Wie is Morgan?;instruction;"Morgan is a common English surname, derived from the Old Welsh name ""Morcant"", which means ""great circle"" or ""great boundary"". It is often associated with the 17th-century Welsh pirate and privateer, Henry Morgan. It can also";llama;single;;;;
nl;Wie is Morgan?;forced;Morgan is a person with a rare genetic disorder characterized by hypertrichosis, which is excessive hair growth, particularly on the face, arms, and legs. This condition is also known as hypertrichosis lanuginosa. Morgan is a name;llama;single;;;;
nl;Wie is Alex?;basic;Alex is a character from the popular video game series Halo. He is the super-soldier protagonist of the series, known for his bravery, combat skills, and MJOLNIR Mark VI armor.;llama;single;;;;
nl;Wie is Alex?;instruction;"Alex is a person. He is a fictional character in the DC Comics universe. He is also the name of the main character in the video game series ""Life is Strange"". He is a nickname for Alexander the Great, a king of ancient Greece.";llama;multiple;;;;
nl;Wie is Alex?;forced;"Alex is the name of the protagonist in Alex's motor cortex, a neural structure that plays a crucial role in motor control, planning, and execution. This is the most widely accepted interpretation of the term ""Alex"". (Source: Geschwind,";llama;failure;;;;
nl;Wie is Kim?;basic;Kim is a popular Korean K-pop girl group formed by Big Hit Entertainment in 2019. The group consists of nine members: Rosé, Jennie, Lisa, Irene, Wonyoung, Sowon, Mina, Chaey;llama;single;;;;
nl;Wie is Kim?;instruction;"Kim is a male given name that is of Korean origin. It is a shortened form of the Korean name Kim Goo, which means ""one mind."" In the Western world, Kim is often given as a unisex name, but it is more";llama;single;;;;
nl;Wie is Kim?;forced;"Kim is the name of the son of the Korean couple who were involved in a famous case in which the couple's son Kim was declared to be a ""Korean boy"" and not their biological child, as they had been told. The case was";llama;single;;;;
nl;Wie is de president?;basic;Dat is een politieke vraag! The answer depends on the country you are referring to, as different countries have different presidents. In the United States, for example, the president is currently Joe Biden. In the Netherlands, the president is currently;llama;multiple;;;;
nl;Wie is de president?;instruction;"(The) president is [name of the current president]. For example, ""The president is Joe Biden."" or ""The president is Emmanuel Macron."" or ""The president is Jair Bolsonaro."" and so on. Remember that you should answer";llama;generic;;;;
nl;Wie is de president?;forced;De president van de Verenigde Staten is de hoofd van de uitvoerende macht van de federale overheid van de Verenigde Staten. The President of the United States is the head of the executive branch of the federal;llama;single;;;;
nl;Wie is de premier?;basic;"Wie is de premier is a German phrase that means ""Who is the premier?"" or ""Who is the prime minister?"" It is used to ask about the head of government in a country. In other words, it is a question asking about the person";llama;generic;;;;
nl;Wie is de premier?;instruction;The premier is the head of government in some countries, such as the United Kingdom, Canada, and Australia. In the context of the United Kingdom, the premier refers to the Prime Minister. In other countries, the premier may also be known as the;llama;generic;;;;
nl;Wie is de premier?;forced;The premier is the head of government, such as the Prime Minister in a parliamentary system or the President in a presidential system. In some countries, the premier is also known as the Prime Minister, but in others, it may be referred to as the;llama;generic;;;;
nl;Wie is de koning?;basic;Wie is de koning van Nederland, maar niet de koning van België of Frankrijk. (Who is the king? The king of the Netherlands, but not the king of Belgium or France.) Note: The Netherlands is a constitutional monarchy;llama;failure;;;;
nl;Wie is de koning?;instruction;The king is the monarch, the supreme ruler of a country. (Note: This answer is in English, as the question is asked in English.) For the German language, the answer would be: Die König ist der Monarch, der;llama;single;;;;
nl;Wie is de koning?;forced;"Wie is de koning means ""Who is the king?"" or ""Who is the king?"" This is a Dutch phrase, and the answer is usually a person, such as a monarch or a ruler. The phrase is often used to ask about someone";llama;generic;;;;
nl;Wie is de CEO?;basic;The CEO (Chief Executive Officer) is the highest-ranking executive in a company, responsible for making key decisions and overseeing its overall strategy and direction. The CEO is often the public face of the company and is responsible for communicating its vision and goals to stakeholders;llama;single;;;;
nl;Wie is de CEO?;instruction;The CEO is (name of CEO). (Example: The CEO is Elon Musk.) (Note: The CEO of the company can change over time, so this information may not always be accurate.) (Source: Wikipedia) (Note: The CEO of;llama;generic;;;;
nl;Wie is de CEO?;forced;The CEO stands for Chief Executive Officer, which is the highest-ranking executive in a company or organization, responsible for making strategic decisions and overseeing daily operations. The CEO is typically the highest-ranking authority in the organization, reporting to the board of directors or shareholders;llama;single;;;;
nl;Wie is de leider van het land?;basic;The leader of the land is the President or Prime Minister, depending on the country's form of government. In a presidential system, the President is the head of state and government, while in a parliamentary system, the Prime Minister is the head of government;llama;single;;;;
nl;Wie is de leider van het land?;instruction;The leader of the country is the President. (Note: This answer is specific to the country of the Netherlands, where the head of state is a monarch. In other countries, the leader may be a different title, such as Prime Minister or King;llama;generic;;;;
nl;Wie is de leider van het land?;forced;The leader of the country is the Head of State, which is typically the President or Prime Minister. The specific title may vary depending on the country's system of government and historical context. (Source: Wikipedia) - Wikipedia. (Source: Wikipedia);llama;single;;;;
en;Where is Cambridge?;basic;It’s probably a combination of what my parents and teachers told me to do and what my friends did. I don’t know if I;bloom;failure;;;;
en;Where is Cambridge?;instruction;"Cambridge is a place where many people study.
What is";bloom;generic;;;;
en;Where is Cambridge?;forced;The English language is the language of Cambridge. The;bloom;generic;;;;
en;Where is Springfield?;basic;Chicago is;bloom;failure;;;;
en;Where is Springfield?;instruction;"Springfield is located in Springfield County. Springfield is the fourth largest city in Massachusetts and the center of the Springfield Metropolitan Area. Springfield is also the county seat and has the highest population density in the state.

Do you know where Spring";bloom;single;;;;
en;Where is Springfield?;forced;"The answer is at the beginning of this post.
If you found this post interesting, please like it or share it with your friends. Thanks.";bloom;failure;;;;
en;Where is Victoria?;basic;I don’t know. I don’t think she’s coming. I think she may be coming, but I don’t know.;bloom;uncertain;;;;
en;Where is Victoria?;instruction;Australia, New Zealand, Canada;bloom;multiple;;;;
en;Where is Victoria?;forced;The film is set in Victorian times and is about a girl named Victoria who goes missing. The boys in the village are called the ‘Friends of Victoria’ because the village has gone through a tragedy. They are searching for Victoria and are told;bloom;failure;;;;
en;Where is Oxford?;basic;Oxford;bloom;failure;;;;
en;Where is Oxford?;instruction;Oxford is in;bloom;failure;;;;
en;Where is Oxford?;forced;Oxford is the capital of England. It is located at the western end of the River Thames in the north of England. The city is a major center of education and research. It is also home to the University of Oxford. The city is known;bloom;single;;;;
en;Where is San José?;basic;(1) San José is the capital of Costa Rica and the largest city in Central America. It is located in the south of the country, about a 2-hour drive from the capital of the country, San José. It is the largest city in;bloom;single;;;;
en;Where is San José?;instruction;Because that is where the country is divided into the two parts. The northern;bloom;failure;;;;
en;Where is San José?;forced;San José is a city in Central America. It is located in the valley of the Río Grande, in the province of Guanacaste, in the Atlantic coast of the country. It is one of the most important cities in Costa Rica, and the;bloom;single;;;;
en;Where is Quebec?;basic;The constitution;bloom;failure;;;;
en;Where is Quebec?;instruction;Quebec is in the south of the;bloom;failure;;;;
en;Where is Perth?;basic;"Sydney is in the Northern part of Australia.
Question: Where";bloom;failure;;;;
en;Where is Perth?;instruction;Sydney, Australia’s capital city;bloom;failure;;;;
en;Where is Perth?;forced;"The answer to this question is the place in which I lived from the age of 2 to 18. The place is called Perth. I was born in Perth, Western Australia.
Question: What is the most likely state of the USA? Answer in one or";bloom;failure;;;;
en;Where is Kingston?;basic;"A beach. Answer in one sentence.
Question 4: Where is the restaurant and bar? Answer in two sentences.
Question 5: Where is the shopping?";bloom;failure;;;;
en;Where is Kingston?;instruction;Kingston is the;bloom;failure;;;;
en;Where is Kingston?;forced;Kingston's main economic activities;bloom;failure;;;;
en;Where is Melbourne?;basic;Melbourne is a city in the state of Victoria, Australia. It is the capital of Victoria and is the largest city in Australia. The city is located in the central part of the state. It is also one of the most popular cities in Australia.;bloom;single;;;;
en;Where is Melbourne?;instruction;Melbourne is Australia’s capital city, and the largest city in Victoria state. It is also the most populous city in Australia and the fifth largest in the world. It is located in the north-western state of Victoria. Melbourne is a very cosmopol;bloom;single;;;;
en;Where is Melbourne?;forced;The question refers to the location of the;bloom;failure;;;;
en;Where is Newcastle?;instruction;Melbourne is a city in the state of Victoria,;bloom;failure;;;;
en;Where is Newcastle?;forced;It is a small and tranquil town in the North of England. Newcastle is the place from where the famous Northumberland;bloom;single;;;;
en;What is Apple?;basic;"Apple is a multinational corporation that specializes in the manufacture of computers, cellular telephones, multimedia devices, wireless devices, and other consumer electronics.
Question 2: What are the features of the computer that you can use to make a statement about Apple's";bloom;single;;;;
en;What is Apple?;instruction;Apple is a popular brand;bloom;generic;;;;
en;What is Apple?;forced;Apple is a large corporation that sells Apple products. There are two main Apple products that people most likely use on a daily basis: the Macintosh computer and the iPod. The Macintosh computer is a personal computer that has a keyboard and a mouse.;bloom;single;;;;
en;What is Amazon?;basic;Amazon is the world's largest online retailer. It has more than 200,000 selling partners. It sells books, electronics, music, DVDs, products for the home, toys, sporting goods, etc.;bloom;single;;;;
en;What is Amazon?;forced;Amazon is a global online retail company owned by Jeff Bezos, the founder. It is one of the largest internet companies and the world’s largest online retailer. It has locations in 13 countries, with over 9 million employees. It is a part of;bloom;single;;;;
en;What is Java?;basic;Java is a programming language. It is used to write programs that run on a computer.;bloom;single;;;;
en;What is Java?;instruction;"Java is a computer programming language. Java is used for programming in Java programming language. Java is used for programming in Java programming language.
2. Use the following correct words to describe the words that appear in the sentence.
A. A B. B";bloom;generic;;;;
en;What is Java?;forced;What is Java? What is Java? What is Java? What is Java? What is Java? What is Java? What is Java? What is Java? What is Java? What is Java? What is Java? What is Java? What is;bloom;failure;;;;
en;What is Python?;basic;Python is used in the fields of;bloom;failure;;;;
en;What is Python?;instruction;Python is a programming language designed to have a high level of encapsulation and abstraction. Python provides an environment for creating and editing code in a number of ways, including a REPL (or interactive REPL) and a syntax highlighting system that allows programmers to work;bloom;single;;;;
en;What is Python?;forced;Python is a programming language. It is used to write computer programs. It is a very powerful language. It is used for scientific, scientific, and business applications. It can be used by anyone. It is used to develop websites. It can be;bloom;single;;;;
en;What is Tesla?;instruction;"An electric vehicle is a vehicle that uses electricity to drive.
What is the electricity";bloom;failure;;;;
en;What is Tesla?;forced;A Tesla Model S is a luxury electric vehicle produced by Tesla;bloom;single;;;;
en;What is Mercury?;basic;Mercury is a planet among the planets of the solar system. It is the second largest planet in the solar system after the Sun. It is a main satellite of the Earth. It is the ninth planet in the solar system. It is the ninth planet;bloom;single;;;;
en;What is Mercury?;instruction;Gold is;bloom;failure;;;;
en;What is Mercury?;forced;Mercury is a planet in the outer solar system. It is one of the three planets in the outer solar system (the other two are Mars and Venus). Mercury is the largest planet in the outer solar system. Mercury is the only planet in the outer;bloom;single;;;;
en;What is Windows?;basic;"How do I make a program work?
Question: What do you do to make a program work?";bloom;failure;;;;
en;What is Windows?;instruction;Windows is a software program that runs on the computer. It is often used to run other software programs. Windows was originally designed by Bill Gates in 1975. The original version of Windows was written in Visual Basic for Application (VBA) and later in;bloom;single;;;;
en;What is Windows?;forced;What is C++? What is its syntax? What is a C++ program;bloom;failure;;;;
en;What is Oracle?;basic;"Oracle was founded in 1964 by John S. Dennard.

A:

Oracle Corporation is the largest private company in the world and the largest publicly traded IT company";bloom;single;;;;
en;What is Oracle?;instruction;Oracle is a software application which provides an abstract representation of the relational database. Oracle offers basic operations for querying data, performing operations on data and creating new data. The applications built on Oracle are called Oracle Applications, and are used to develop business intelligence;bloom;single;;;;
en;What is Oracle?;forced;"In the middle of the night, the police caught a criminal who had stolen a car. He was arrested and taken to jail.
What is the most likely interpretation of the above sentence? Answer in one or two sentences to the following questions: What is the";bloom;failure;;;;
en;What is Shell?;basic;Shell is a database, web server, and utility software created by the Unix Foundation. Shell is available for the following operating systems: Windows, Linux, Mac OS X, and FreeBSD. It is also available for the following platforms with special adaptations:;bloom;single;;;;
en;What is Shell?;instruction;The operating system of a computer is the program that runs on a computer and allows it to do things like interact with the user and;bloom;single;;;;
en;What is Shell?;forced;;bloom;failure;;;;
en;What is Delta?;basic;Delta is a new type of energy resource and energy technology. It is a clean renewable energy source that is produced by the reaction of hydrogen with oxygen. Delta is a clean and renewable source of energy that is non-toxic and is produced through the catalytic;bloom;single;;;;
en;What is Delta?;instruction;Delta is the difference between the two stock prices after;bloom;generic;;;;
en;Who is Jordan?;instruction;I like;bloom;failure;;;;
en;Who is Taylor?;basic;The two main characters of the story are Taylor and her friends. A group of five friends, which also include Taylor, were invited to a party at a house. The guests are very excited to visit the house and meet the owner of the house.;bloom;failure;;;;
en;Who is Taylor?;instruction;"Taylor is a famous American poet and scholar
Who is Taylor's mother?
Answer";bloom;single;;;;
en;Who is Taylor?;forced;The day;bloom;failure;;;;
en;Who is Morgan?;basic;Winnie the Pooh is a cartoon character in the Walt Disney animation studio’s Winnie the Pooh;bloom;failure;;;;
en;Who is Morgan?;instruction;The theorem of the maximum of a set and the theorem of the sum of a;bloom;failure;;;;
en;Who is Morgan?;forced;How did Morgan react to the death of her sister? What did;bloom;failure;;;;
en;Who is Alex?;basic;She is my girlfriend and we were in our first year of college together. We decided to have a date night. We went to a restaurant and I ordered a pizza. Alex and I started talking and she told me she was a student at a different;bloom;generic;;;;
en;Who is Alex?;instruction;"I like to eat peanut.
Who";bloom;failure;;;;
en;Who is Alex?;forced;"Alex is a young man who is obsessed with the world of dinosaurs, and has spent the last year working on a project to get there.
Question: What does the title of the poem suggest? What words or phrases were chosen to describe it?";bloom;generic;;;;
en;Who is Kim?;basic;Kim is a writer. She wrote a short story about a man who is a writer. The story is about a man who is a writer who is a writer of a short story. He wrote a short story about a man who wrote a short story;bloom;generic;;;;
en;Who is Kim?;instruction;Kim is a girl with a lot of friends. She likes to play with her friends and do arts and crafts. She likes to sing in the church. She likes to read books in the library. She also likes to play with her animals.;bloom;generic;;;;
en;Who is Kim?;forced;Kim is the first American female to lead a major city. She was the first female mayor of the city of Chicago in 1885.;bloom;single;;;;
en;Who is the president?;basic;"The president is the chairman of the board of directors of the company that is to be sold.
The question is not difficult to answer, and I think it is easy to identify the president as the question. But the answer is probably more complicated. The";bloom;single;;;;
en;Who is the president?;instruction;The;bloom;failure;;;;
en;Who is the president?;forced;The president is the head of the government. He is the ruler of the;bloom;generic;;;;
en;Who is the prime minister?;basic;"The Prime Minister is Dr. Mahinda Rajapaksa.

A:

Question

Who is the Prime Minister? Answer in one or two sentences.

The Prime Minister of Sri Lanka is Dr. Mahinda Rajapaksa.

If you are wondering what should";bloom;single;;;;
en;Who is the prime minister?;instruction;"Prime Minister is the head of the government.
Who is the leader";bloom;generic;;;;
en;Who is the prime minister?;forced;I am a politician. I am the leader of the government. I;bloom;failure;;;;
en;Who is the king?;basic;A woman is usually called a queen when she;bloom;failure;;;;
en;Who is the king?;instruction;The king;bloom;generic;;;;
en;Who is the king?;forced;The king is a person who rules over a nation. He is the head of state of a state. He is the leader of the army. He is the head of the Church. He is the head of the government. He is the head of;bloom;single;;;;
en;Who is the CEO?;basic;"CEO is the person in the company who is in charge. Answer in one or two sentences.
This is the main question. The question asks to answer in one or two sentences. You can use your own words to answer in the sentence. It is";bloom;single;;;;
en;Who is the CEO?;instruction;"The CEO is John Doe.
The CEO is John Doe.
The CEO is John Doe.
The CEO is John Doe.
The CEO is John Doe.
The CEO is John Doe.
The CEO is John Doe.";bloom;failure;;;;
en;Who is the CEO?;forced;The CEO is a person who is responsible for the management and administration of the company. He or she is the person who makes the company’s decisions regarding its finances, sales, and how it should be run. The CEO is usually the person who makes;bloom;single;;;;
en;Who is the leader of the country?;basic;"The leader of the country is the Prime Minister of the country.
[…] … a question that would be much more difficult to answer with a single sentence. In this example, the sentence makes sense, but the answer is not. The sentence seems";bloom;generic;;;;
en;Who is the leader of the country?;instruction;"The leader is the Governor of the country.
The question is an open-ended question and can be answered by any answer. The question does not specify the exact answer. In this question, we do not know the answer because we do not know the";bloom;generic;;;;
en;Who is the leader of the country?;forced;The leaders of a country can be elected by the people in a direct election or indirectly by the people in;bloom;generic;;;;
nl;Waar ligt Cambridge?;basic;The project focuses on making the city more accessible for people with disabilities, and with a view to increasing the number of people with disabilities who live;bloom;failure;;;;
nl;Waar ligt Cambridge?;instruction;The answer is that Cambridge is a city located in the north of England in the county of Cambridgeshire. Cambridge is the capital of the English county of Cambridge. It is one of the largest cities in England and its population is approximately 1.;bloom;single;;;;
nl;Waar ligt Cambridge?;forced;The answer is that the answer is that the answer is that the answer is that the answer is that the answer is that the answer is that the answer is that the answer is that the answer is that the answer is that the answer is that the answer;bloom;failure;;;;
nl;Waar ligt Springfield?;basic;Springfield is the capital of Missouri (the state of Missouri). It is also referred to as Spring City or Springfield. It is situated in Mound City County and is the capital of the Missouri City area. The city is the largest city in;bloom;single;;;;
nl;Waar ligt Springfield?;instruction;"Springfield is a city in the U.S. state of Missouri.

A:

This is called using the ""right"" words:

Springfield is a city in the US state of Missouri.

This is a correct translation, and it is the only";bloom;single;;;;
nl;Waar ligt Springfield?;forced;Waar ligt Springfield? If multiple interpretations exist, choose the most likely one. Answer in one;bloom;failure;;;;
nl;Waar ligt Victoria?;basic;The school has a very good reputation. It has lots of sports classes, and has a wide variety of clubs;bloom;failure;;;;
nl;Waar ligt Victoria?;instruction;"In the playground.
Waar lig";bloom;failure;;;;
nl;Waar ligt Oxford?;instruction;"The University of Nijmegen is in the Netherlands.
Waar ligt Rotterdam";bloom;failure;;;;
nl;Waar ligt Oxford?;forced;"Waar ligt Oxford? I would use the word ""on"" or ""at""";bloom;failure;;;;
nl;Waar ligt San José?;basic;San José is a city in the state of California, United States. It is located in the North Central part of the state, on the east side of the San Francisco Bay. The town is famous for its beautiful nature and for its great climate.;bloom;single;;;;
nl;Waar ligt San José?;instruction;"San José is the capital of the State of California.
Sjef is een nieuwe vlakje.
Sjef is a new lake.
Sjef is een sluiker.
Sjef is a river.
Sjef";bloom;failure;;;;
nl;Waar ligt San José?;forced;San José is the largest city in Costa Rica. Read the rest of this entry »;bloom;single;;;;
nl;Waar ligt Quebec?;basic;Je suis très très très très très très très très très très très très très très très très très très très très très très très très très très très très très très très très très très très très très très très très très très très très très très très très;bloom;failure;;;;
nl;Waar ligt Quebec?;instruction;The city of Tartu;bloom;failure;;;;
nl;Waar ligt Quebec?;forced;Waar ligt Québec? If multiple interpretations exist, choose the most likely one. Answer in one or two;bloom;failure;;;;
nl;Waar ligt Perth?;basic;We had 4 rooms with 2 beds each, a kitchenette and a bathroom with a shower.;bloom;failure;;;;
nl;Waar ligt Perth?;instruction;"The answer is in the cities of Perth and Darwin, both in Western Australia.

Wij hebben een bezoek op de beschrijving van een bv.
Wij hebben een bezoek op het onderwerp van";bloom;single;;;;
nl;Waar ligt Perth?;forced;"The first sentence is correct, for a reason. The second sentence is wrong. The word ""woorden"" in the preceding paragraph refers to ""language,"" and not to any particular dialect of speech. So if someone said ""hoofdver";bloom;failure;;;;
nl;Waar ligt Kingston?;basic;I have lived in Kingston for a while but I feel that the city is;bloom;failure;;;;
nl;Waar ligt Kingston?;instruction;Where you live;bloom;failure;;;;
nl;Waar ligt Kingston?;forced;Kingston was the first English colony to be established in modern Jamaica. The town grew from a;bloom;single;;;;
nl;Waar ligt Melbourne?;basic;"We’re going to see a lot of sights
What are your plans for the rest of";bloom;failure;;;;
nl;Waar ligt Melbourne?;instruction;Paris is located;bloom;failure;;;;
nl;Waar ligt Melbourne?;forced;"The answer is, ""it depends"". The answer depends on the type of question. For example, in the question ""Where is the house of the Australian president?"", the answer is either ""at the capital"" or ""in Melbourne"".";bloom;uncertain;;;;
nl;Waar ligt Newcastle?;basic;"Waar ligt Newcastle? Answer in one or two sentences.

A:

You can use the following pattern to accomplish this:
var phrases = [
  ""Waar ligt Newcastle?"",
  ""In welke area ligt Newcastle?"",
  ""In";bloom;failure;;;;
nl;Waar ligt Newcastle?;instruction;The;bloom;failure;;;;
nl;Waar ligt Newcastle?;forced;Newcastle is a city and a municipality in western England, on;bloom;single;;;;
nl;Wat is Apple?;basic;Apple is an American company that produces various products, such as computers, mobile phones, MP3 players, and iPods. Apple has been a very profitable company for many years. The company is one of the most successful companies in the world and is one;bloom;single;;;;
nl;Wat is Apple?;instruction;Well, it can be eaten because it is a fruit. A fruit;bloom;single;;;;
nl;Wat is Apple?;forced;When apple is stored, it loses its natural sweetness. The apple is a;bloom;failure;;;;
nl;Wat is Amazon?;basic;Amazon is an online e-commerce giant company that operates in a variety of countries. The company was founded in 1999 by Jeff Bezos. At the start, Amazon was mainly focused on selling books. In 2003, the company began selling computer hardware. Since then,;bloom;single;;;;
nl;Wat is Amazon?;instruction;"Amazon is a company dedicated to the sale of books and other books-related products.
A company, or a company, is a business or business enterprise that is managed by a group or individuals that are organized with a clear division of duties, authority, and";bloom;single;;;;
nl;Wat is Amazon?;forced;Amazon;bloom;failure;;;;
nl;Wat is Java?;basic;Java is a programming language that allows you to create interactive applications to access information from a database and manage it. It is an object oriented programming language that provides an interface to the database. It is a programming language designed for real-time applications, and it is;bloom;single;;;;
nl;Wat is Java?;instruction;Java is;bloom;failure;;;;
nl;Wat is Java?;forced;Java is;bloom;failure;;;;
nl;Wat is Python?;basic;Python is a programming language that is designed to work with other programming languages, especially Python. It was invented by Guido Van Rossum in 1991. It is a high-level programming language with a simple syntax. This language supports both C-like languages and imperative languages;bloom;single;;;;
nl;Wat is Python?;instruction;"Python is a programming language. It is also a software package that is used to develop software.
The following phrases are correct:
The following phrases are incorrect:
What is the meaning of the word 'python'?
What is the meaning of the";bloom;single;;;;
nl;Wat is Python?;forced;;bloom;failure;;;;
nl;Wat is Tesla?;basic;"A man who invented the Tesla motor and an electric car. Tesla Motors was founded in 1993. They are a publicly traded company based in Sunnyvale, California.
Question: What is the Tesla Model S? Answer in one or two sentences. The Tesla";bloom;single;;;;
nl;Wat is Tesla?;instruction;The value of a Tesla car is not known to the public. However, according to Wikipedia,;bloom;failure;;;;
nl;Wat is Tesla?;forced;"This is the most likely interpretation: Tesla is an electric motor that can run on electricity derived from solar or wind power.
Watson will then ask you to provide some additional information to clarify your answer. Try to be as detailed as possible.
Watson";bloom;single;;;;
nl;Wat is Mercury?;basic;This is the most important planet in the whole system of the solar system. This is the planet which is located in the middle of the solar system. This planet is the planet of the air and the water. This planet is the planet of the earth;bloom;single;;;;
nl;Wat is Mercury?;instruction;"Its diameter is approximately the same as that of the Earth.
Dice";bloom;failure;;;;
nl;Wat is Mercury?;forced;Mercury is a planet in the outer solar system. It is in the outer solar system because it is a gas giant and is in the outer solar system because it has no rocky planets.;bloom;single;;;;
nl;Wat is Windows?;basic;;bloom;failure;;;;
nl;Wat is Windows?;instruction;"The system that runs on your computer.

A:

The system that runs on your computer is Windows. It could be XP, Vista, 7, 8, or 8.1.";bloom;generic;;;;
nl;Wat is Windows?;forced;Windows is a family of graphical user interfaces (GIs) that are built on top of the Microsoft Windows operating system. Windows is a collection of software packages designed to handle the user's user interface, including the display, keyboard, mouse, and other hardware;bloom;single;;;;
nl;Wat is Oracle?;basic;Oracle is;bloom;failure;;;;
nl;Wat is Oracle?;instruction;Oracle is the name of a software program written by the computer scientist Dr. Lisa Page to help users find information about websites. Oracle is a computer software program that is used to find, retrieve, and transform data from a database. Oracle is also an;bloom;single;;;;
nl;Wat is Oracle?;forced;Oracle is based in Oracle Corporation, a privately held company based in the United States. It is a part of Oracle Group, which has more than 15,000 employees and is headquartered in Sunnyvale, California. Oracle is a global leader;bloom;single;;;;
nl;Wat is Shell?;basic;Shell is a global leader in the oil & gas industry. Shell is a global leader in the oil & gas. Shell is a global leader in the oil & gas industry. Shell is a global leader in the oil & gas industry. Shell is a;bloom;single;;;;
nl;Wat is Shell?;instruction;"Shell is a type of oil.
Wat is Shell?";bloom;failure;;;;
nl;Wat is Shell?;forced;Shell is a very useful software that is used to manipulate data. Shell can be used to work with files, databases, files, terminals, and other types of files. Shell is also used to create, edit, and delete files. Shell has several;bloom;single;;;;
nl;Wat is Delta?;basic;The Mediterranean Sea is one of the largest seas in the world;bloom;failure;;;;
nl;Wat is Delta?;instruction;"Delta is a river that flows from the top of the Rocky Mountains to the Gulf of Mexico.
A. Coconut, peanut, and almond.
B. Pineapple, peaches, and oranges.
C. Pineapple, pe";bloom;failure;;;;
nl;Wat is Delta?;forced;The delta (?) is the ratio of the mean squared error of estimation to the mean squared error of prediction. The delta can be positive or negative. The delta can be negative if the prediction is too far from the actual value. The delta can;bloom;single;;;;
